,sna,tot,sbi,sarea,mday,ar,bemp,act
1023,YouBike2.0_玉成公園運動中心,15,1,南港區,2023-05-27 14:42:14,中坡南路19號,14,1
1024,YouBike2.0_百福公園,18,2,南港區,2023-05-27 15:03:15,福德街309巷7號南側,15,1
1026,YouBike2.0_園區重陽路口,13,1,南港區,2023-05-27 15:19:14,重陽路458號西側,12,1
1028,YouBike2.0_胡適公園,20,1,南港區,2023-05-27 14:23:15,研究院路二段/研究院路二段132巷北側,19,1
1029,YouBike2.0_南港抽水站,13,5,南港區,2023-05-27 15:19:14,重陽路505號,8,1
1030,YouBike2.0_經貿公園,20,1,南港區,2023-05-27 13:06:16,經園街58號北側,19,1
1031,YouBike2.0_育成高中,20,1,南港區,2023-05-27 15:17:32,惠民街71號西側,19,1
1033,YouBike2.0_力行橋(南港),18,2,南港區,2023-05-27 15:15:15,研究院路一段101巷16弄2號南側,16,1
1034,YouBike2.0_舊莊國小(舊莊街一段),15,0,南港區,2023-05-27 14:14:04,舊莊街一段/舊莊街一段145巷口,15,1
1035,YouBike2.0_向陽公園,17,5,南港區,2023-05-27 15:16:16,成功路一段76號對側,12,1
1042,YouBike2.0_昆陽公園,14,0,南港區,2023-05-27 14:46:04,昆陽街173號對側,14,1
1043,YouBike2.0_南港路二段178巷口,18,4,南港區,2023-05-27 15:15:15,南港路二段 / 南港路二段178巷口(北側),13,1
1046,YouBike2.0_玉成公園(成福路178巷口),18,0,南港區,2023-05-27 15:17:22,成福路178巷8號對側,16,1
1047,YouBike2.0_玉東公園(東新街),14,5,南港區,2023-05-27 15:13:15,東新街/市民大道七段(北側),9,1
1049,YouBike2.0_成福路197巷口,15,0,南港區,2023-05-27 15:01:04,成福路197巷/成福路,15,1
1050,YouBike2.0_南港疏散門(基三號疏散門),15,5,南港區,2023-05-27 14:09:14,松河街398號對側,10,1
1052,YouBike2.0_南港展覽館2館,18,0,南港區,2023-05-27 14:17:24,經貿二路/南港路一段(西北側),18,1
1053,YouBike2.0_舊莊派出所,15,1,南港區,2023-05-27 15:14:14,舊莊街一段/舊莊街一段215巷,14,1
1054,YouBike2.0_南港路三段80巷,15,3,南港區,2023-05-27 14:52:16,南港路三段/南港路三段80巷,12,1
1056,YouBike2.0_忠孝東路六段278巷口,14,1,南港區,2023-05-27 14:56:04,忠孝東路/忠孝東路六段278巷,13,1
1058,YouBike2.0_南港路三段130巷口,12,2,南港區,2023-05-27 14:42:14,松河街380號對側,10,1
